División,Marca,Modelo,Número Serie,Código Cliente,Cliente,Ubicación,Tipo Contrato,Monto Anual,Inicio Contrato,Fin Contrato,Estado Garantía,Vencimiento Garantía,Tipo Llamada,Fecha Llamada
Imágenes Médicas,GE,OPTIMA CT540,650017,C10001,Hospital Calderón Guardia,San José,Preventivo,5400.00,2024-01-15,2025-01-15,En Garantía,2025-06-30,1,2024-03-10
Imágenes Médicas,GE,OPTIMA CT540,650017,C10001,Hospital Calderón Guardia,San José,Preventivo,5400.00,2024-01-15,2025-01-15,En Garantía,2025-06-30,2,2024-06-22
Imágenes Médicas,GE,OPTIMA CT540,650017,C10001,Hospital Calderón Guardia,San José,Preventivo,5400.00,2024-01-15,2025-01-15,En Garantía,2025-06-30,1,2024-09-05
Imágenes Médicas,Philips,Ingenia Ambition 1.5T,770025,C10002,Clínica Bíblica,Heredia,Preventivo,8200.00,2023-06-01,2024-06-01,En Garantía,2024-12-15,1,2023-08-20
Imágenes Médicas,Philips,Ingenia Ambition 1.5T,770025,C10002,Clínica Bíblica,Heredia,Preventivo,8200.00,2023-06-01,2024-06-01,En Garantía,2024-12-15,2,2023-11-05
Imágenes Médicas,Philips,Ingenia Ambition 1.5T,770025,C10002,Clínica Bíblica,Heredia,Preventivo,8200.00,2023-06-01,2024-06-01,En Garantía,2024-12-15,2,2024-02-14
Imágenes Médicas,Philips,Ingenia Ambition 1.5T,770025,C10002,Clínica Bíblica,Heredia,Preventivo,8200.00,2023-06-01,2024-06-01,En Garantía,2024-12-15,1,2024-05-30
Imágenes Médicas,Siemens,SOMATOM X.cite,880033,C10003,Hospital México,Alajuela,Correctivo,3200.00,2024-03-01,2025-03-01,En Garantía,2025-09-20,2,2024-04-15
Imágenes Médicas,Siemens,SOMATOM X.cite,880033,C10003,Hospital México,Alajuela,Correctivo,3200.00,2024-03-01,2025-03-01,En Garantía,2025-09-20,2,2024-07-28
Imágenes Médicas,Siemens,SOMATOM X.cite,880033,C10003,Hospital México,Alajuela,Correctivo,3200.00,2024-03-01,2025-03-01,En Garantía,2025-09-20,1,2024-06-10
Imágenes Médicas,Siemens,SOMATOM X.cite,880033,C10003,Hospital México,Alajuela,Correctivo,3200.00,2024-03-01,2025-03-01,En Garantía,2025-09-20,1,2024-10-22
Imágenes Médicas,GE,LOGIQ E10,650100,C10004,Hospital Nacional de Niños,Cartago,Preventivo,4500.00,2023-09-01,2024-09-01,Vencida,2024-03-15,1,2023-10-15
Imágenes Médicas,GE,LOGIQ E10,650100,C10004,Hospital Nacional de Niños,Cartago,Preventivo,4500.00,2023-09-01,2024-09-01,Vencida,2024-03-15,2,2024-01-08
Imágenes Médicas,GE,LOGIQ E10,650100,C10004,Hospital Nacional de Niños,Cartago,Preventivo,4500.00,2023-09-01,2024-09-01,Vencida,2024-03-15,2,2024-03-20
Imágenes Médicas,Toshiba,Aprio 500,990050,C10005,Centro Médico San Pedro,San José,Preventivo,2800.00,2024-05-01,2025-05-01,En Garantía,2025-11-01,1,2024-07-12
Imágenes Médicas,Toshiba,Aprio 500,990050,C10005,Centro Médico San Pedro,San José,Preventivo,2800.00,2024-05-01,2025-05-01,En Garantía,2025-11-01,1,2024-11-20
Imágenes Médicas,Sonosite,Edge II,100001,C10006,Hospital San Juan de Dios,San José,Preventivo,6200.00,2024-02-01,2025-02-01,En Garantía,2025-08-15,1,2024-04-10
Imágenes Médicas,Sonosite,Edge II,100001,C10006,Hospital San Juan de Dios,San José,Preventivo,6200.00,2024-02-01,2025-02-01,En Garantía,2025-08-15,2,2024-08-20
Imágenes Médicas,Sonosite,Edge II,100001,C10006,Hospital San Juan de Dios,San José,Preventivo,6200.00,2024-02-01,2025-02-01,En Garantía,2025-08-15,1,2024-12-05
Imágenes Médicas,Sonosite,M-Turbo,200002,C10007,Clínica Católica,Alajuela,Correctivo,3800.00,2024-06-01,2025-06-01,En Garantía,2025-12-01,2,2024-07-15
Imágenes Médicas,Sonosite,M-Turbo,200002,C10007,Clínica Católica,Alajuela,Correctivo,3800.00,2024-06-01,2025-06-01,En Garantía,2025-12-01,1,2024-09-22